review_text,star_rating
"Ps5 headset GefersonD | Verified Purchase Verified Purchase | Posted 5 days ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Amazing, wireless, battery is very good and sounds amazing This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Almost perfect RichardJ | Verified Purchase Verified Purchase | Posted 5 days ago . Owned for 3 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Great product. My only issues are: The head pad on the top of the headphone is cheap, servicable at best. The headset is kind of heavy. The weight isnt distributed super well across the head pad. Other than that its everything i wanted. Only thing that would make it better is : Better head pad ANC Better quality material for the earphones themselves. The felt is not a good feel I would recommend this to a friend",4
"Astro A50 ColeG | Verified Purchase Verified Purchase | Posted 5 days ago . Owned for 1 year when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Great product , definitely recommended, great sound and wireless so no mess or annoying wires This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Not many better ChrisD | Verified Purchase Verified Purchase | Posted 6 days ago . Owned for 3 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Consistently one of the best overall headsets available. Sound quality is great, mic quality is great, very comfortable for extended use, and battery life to go with that. This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
New headset bought as a gift. KalebP | Verified Purchase Verified Purchase | Posted 6 days ago . This reviewer received promo considerations or sweepstakes entry for writing a review. I bought this as a gift for my partner who had a old pair of Sennheisers. He says they sound just as good as his old set and the wireless doesn't disconnect when going downstairs. I would recommend this to a friend,5
Incredible DonM | Verified Purchase Verified Purchase | Posted 6 days ago . Owned for 1 month when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Amazing sound quality and clarity. This is the best headset that I've ever used. I would recommend this to a friend,5
Amazing headphones Gabe | Verified Purchase Verified Purchase | Posted 6 days ago . Owned for 1 month when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. These headphones are amazing. The sound is epic. Definitely recommend I would recommend this to a friend,5
Review IsahiM | Verified Purchase Verified Purchase | Posted 6 days ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Better than the steel series I used to have. You get what you pay for and these are solid no complaints at all I would recommend this to a friend,5
Best gaming headset TrentO | Verified Purchase Verified Purchase | Posted 6 days ago . Owned for 3 months when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Great headphone I love the sound quality easy to use I would recommend this to a friend,5
"Great for gaming. TSmith | Verified Purchase Verified Purchase | Posted 1 week ago . Owned for 5 months when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Title explains itself. This headset is great and I recommend it to anybody willing to dish out the hefty price. In my eyes, it is top of the line for console gaming and the fact it can swap to PC is nice to add on. I myself have both console and PC and the light speed swap is one of the many pleasures of this headset along with the great audio drivers. Overall 9.8/10. I would give it a 10 but for it being a wireless headset, the range it disconnects at is pretty short compared to previous wireless headsets i’ve had. I would recommend this to a friend",5
Gaming done right ValC | Verified Purchase Verified Purchase | Posted 1 week ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Works well and comfy. Essy to switch between all systems. I would recommend this to a friend,5
"My new gaming headset ElvisG | Verified Purchase Verified Purchase | Posted 1 week ago . Owned for 1 month when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. I did not know that my headset will be this amazing This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Astro A50x BraxtonC | Verified Purchase Verified Purchase | Posted 1 week ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Best headset on the market. Has chnaged the game play experience 10 fold. I used to have the old astro A50. But thrse are just so much easier. No connection issues. They just sound better. Fit more comfortable This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
Headphones CharlesM | Verified Purchase Verified Purchase | Posted 1 week ago . Owned for 7 months when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. By far my favorite headphones you can hear everything I would recommend this to a friend,5
Best Wireless Headset GiovanniM | Verified Purchase Verified Purchase | Posted 1 week ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Absolutely the best headphones ive ever purchased. Base station and everything about the headset is flawless. Has way more features than anything ive owned. I would recommend this to a friend,5
"High Quality headset CameronM | Verified Purchase Verified Purchase | Posted 1 week ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Once you change the EQ settings, this headset kicks Butt. I would recommend this to a friend",5
Astro gen headset Way345 | Verified Purchase Verified Purchase | Posted 1 week ago . Owned for 1 month when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Very good headset can hear every detail when im playing anygame I would recommend this to a friend,5
"Scam product Andrew | Verified Purchase Verified Purchase | Posted 1 week ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Advertised with this headset is a lifetime Dolby Atmos license- this is a lie. You are never given Dolby Atmos access with this headset. The audio quality is truly terrible across all 3 platforms, and your friends will ask you why you sound like you're talking through a drive-thru speaker. This review is from Logitech - Astro A50 X McLaren Edition LIGHTSPEED Wireless Gaming Headset + Base Station with PLAYSYNC for PS5, Xbox, Switch, PC - Orange No, I would not recommend this to a friend",1
"headphones for competitive JoseM | Verified Purchase Verified Purchase | Posted 1 week ago . Owned for 8 months when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Impressive sound quality: Its audio quality is among the best for wireless gaming headsets: it has powerful bass, very clear mids, and bright highs, creating a rich and immersive experience. It also supports Dolby Atmos (depending on the platform) for a more immersive spatial experience. Multiplatform switching: One of its standout features: its base station has HDMI 2.1 for video and audio transmission, allowing you to switch between consoles (e.g., PS5 and Xbox) with a single button. This makes it ideal if you use multiple systems and don't want to carry multiple headsets or constantly disconnect. Comfort: It has a comfortable design: soft ear cushions, a well-padded headband, and a weight that doesn't feel excessive for what it offers. TechRadar calls it a ""gem for long sessions. I would recommend this to a friend",5
Great Headphones RicardoA | Verified Purchase Verified Purchase | Posted 1 week ago . This reviewer received promo considerations or sweepstakes entry for writing a review. The quality of this headset is awesome. Easy to setup and switch between consoles. I would recommend this to a friend,5
Good Headset JosephV | Verified Purchase Verified Purchase | Posted 1 week ago . Owned for 1 year when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Very good headset. Sounds great and is still working perfectly over a year later. I would recommend this to a friend,5
"Best of the best PATRICK | Verified Purchase Verified Purchase | Posted 1 week ago . Owned for 2 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Best headset I have ever owned. Great sound quality & very easy to setup. This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Best headset I've ever owned. Chandler | Verified Purchase Verified Purchase | Posted 1 week ago . Owned for 2 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. I had a Pulse Elite headset; it disconnected constantly, and the audio was meh. The 3D audio was not very good. This headset allows you to hear everything and where it is coming from. The setup is kind of difficult, but once you get past that, it is well worth it! I would recommend this to a friend",5
Great sound from these headphones GreggD | Verified Purchase Verified Purchase | Posted 1 week ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Great sound. Easy controls. Flawless connectivity. Exactly what you want from a console headset. Bought them while they were on sale but would have been worth the money at full price. I would recommend this to a friend,5
"Best headphones I've gotten IsaacH | Verified Purchase Verified Purchase | Posted 1 week ago . Owned for 2 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Good quality headphones i also bought some for my bro and he said he loves them too This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Astros! MarianoC | Verified Purchase Verified Purchase | Posted 2 weeks ago . Owned for 10 months when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Best head set I’ve had, great battery life. Very comfortable! This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Perfect Quality PavelS | Verified Purchase Verified Purchase | Posted 2 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Perfect quality of audio and comfortable! I tried 4 headsets before these ones and they are better by far! This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Great headset ParkerB | Verified Purchase Verified Purchase | Posted 2 weeks ago . Owned for 11 months when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. This is the third Astro headset I’ve had and I love them all. Very comfortable, good battery life, and great sound quality. I have had issues with lining it up on the dock properly to charge it so do be aware if you have a big head like me that the headset tends to stretch. But even then it usually only takes a bit of a wiggle to get it to charge I would recommend this to a friend",4
"Best headset on the market Mambadavid24 | Verified Purchase Verified Purchase | Posted 2 weeks ago . Owned for 1 year when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Best headset I have ever had. The quality, sound, and feel of the headset is unmatched. The ease of switching between consoles and pc makes it a game changer, literally. Would buy again if I ever need a new one. I would recommend this to a friend",5
"Put this headset on your Christmas list Elias | Verified Purchase Verified Purchase | Posted 2 weeks ago . Owned for 2 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. I had this headset for 3 weeks now and they do not disappoint. Sound quality is top tier and mic quality is good. Comfortably is not bad still on the heavy side but the ear muffs are comfortable don't bother me at all and I am able to wear gaming glasses with no problem. I also enjoy the app for the headset, you are able customize the sound settings for the mic and game. My only complaints is the wheel for volume, sometimes I move it when I turn my head only happens when Im wearing a hoodie (not that big of deal honestly) 2 complaint is Bluetooth when you have Bluetooth active it will have your mic cut in and out when in a party on discord or ps party ( disabling Bluetooth will stop it) again not that big of a deal. My last complaint is the setup for the whole headset (easy to up) its too much cords having cords run to your console, the charger, pc and monitor is to much. I being able to dock my headset after each gaming session thats a cool thing to have honestly but evey gamer knows less cords to deal with the better because we already have enough cords to deal with lol. 4/5  just because of the app if they can fix the Bluetooth setting. In conclusion highly recommend these headphones you wont regret it. This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",4
The best gaming headsets LuisM | Verified Purchase Verified Purchase | Posted 2 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. The best headset I've ever had! The sound is just ridiculous I would recommend this to a friend,5
"Astro 50 JimmyT | Verified Purchase Verified Purchase | Posted 2 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Cool concept, & yet too many cords required for the wireless headphones. The dock is required for use, & I wasn’t a fan of that aspect. This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White No, I would not recommend this to a friend",4
Great Headsets LudwinL | Verified Purchase Verified Purchase | Posted 2 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. They are worth every penny I spent... they are the best headphones. I had the previous generation for 4 years and they still sound great. I would recommend this to a friend,5
"Recommend JavierG | Verified Purchase Verified Purchase | Posted 2 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. I upgraded from my previous Astros a50xs and these work great. This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
Little spends but worth it! gunghoang | Verified Purchase Verified Purchase | Posted 2 weeks ago . Owned for 3 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. These headphones are sick! Love being wireless and so many options to configure for my liking on the app! Little pricey but I think they’re worth it! I would recommend this to a friend,5
"Great headset JakeB | Verified Purchase Verified Purchase | Posted 2 weeks ago . Owned for 1 month when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. My second time getting Astro headset. Just wanted to upgrade and these did the job. Great company and simple setup. This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
Rework the charging station Mike | Verified Purchase Verified Purchase | Posted 2 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. I enjoy these headphones they're great however the charging station  is hard to get set to charge.  They need to rework the cradle to rest headset for charging. ! I would recommend this to a friend,4
"Worth the $$ Lynbar | Verified Purchase Verified Purchase | Posted 2 weeks ago . Owned for 3 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Working GREAT so far! I waited for a sale to be able to justify the cost. I took a leap of faith, and so far I’m very satisfied with this headset. It’s easy to get used to. Obviously this is a pricy investment, so I added optional insurance just it case it suddenly dies. It’s nice to have a cordless set with high quality sound and ease of use when gaming with friends. This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Excellent headset ChadD | Verified Purchase Verified Purchase | Posted 2 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Works excellent besides me needing better hdmi, the screen goes black then comes back on I would recommend this to a friend",5
"Astro A50X SaidaM | Verified Purchase Verified Purchase | Posted 3 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. It was a really good product, Thank you for the headset I would recommend this to a friend",5
"Good Astro JoffreD | Verified Purchase Verified Purchase | Posted 3 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. The A50X gaming headset is really good. The sound quality is clear and immersive, and they are comfortable to wear for long gaming sessions. Overall, they work well and are worth it I would recommend this to a friend",5
The best I've ever had. SamE | Verified Purchase Verified Purchase | Posted 3 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Best headset I've ever had. Excellent audio and the microphone sounds better than studio mics I would recommend this to a friend,5
"Astro a 50x RichC | Verified Purchase Verified Purchase | Posted 3 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Amazing headset the facr of connecting 3 devices ps4 xbox and pc and switch a button to swap between each is great, battery lasts a long time sound quality is the best one yet This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Worth the price ClaytonG | Verified Purchase Verified Purchase | Posted 3 weeks ago . Owned for 3 months when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Awesome headset, very nice being able to switch from console to pc or vice versa. quality of mic and headphones are great. This pair is definitely my favorite headset now. This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White I would recommend this to a friend",5
"Lose yourself in the game! Charlief | Verified Purchase Verified Purchase | Posted 3 weeks ago . Owned for 2 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Comfortable, great battery life. And deep immersive sound stage. On Xbox you need to go Into audio settings and uncheck some options that isn’t really listed in the setup guide. You might have to update your firmware by connecting to a pc first. Also the setup guide is a QR code that is a broken link and Logitech has a bad website. Those are knocks against Logitech not the product I would recommend this to a friend",5
"Not worth it SamuelS | Verified Purchase Verified Purchase | Posted 3 weeks ago . Owned for 1 year when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. For the price i do not recommend it . Theres better options This review is from Logitech - Astro A50 X LIGHTSPEED Wireless w/ PLAYSYNC Over-the-Ear Gaming Headset + Base Station for Xbox Series X|S, PS5, PC/MAC - White No, I would not recommend this to a friend",3
Astros a50x  killers headsets JimmyD | Verified Purchase Verified Purchase | Posted 3 weeks ago . Owned for 2 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. I love the new fixture the bluetooth you can play and be on the phone the same time or listen to music while you play there awesome I would recommend this to a friend,5
Astro a50 Logitech JoshG | Verified Purchase Verified Purchase | Posted 3 weeks ago . This reviewer received promo considerations or sweepstakes entry for writing a review. Very good very durable probably the best headset and it shows they worked great I would recommend this to a friend,5
Great headset JasmineB | Verified Purchase Verified Purchase | Posted 1 month ago . Owned for 2 weeks when reviewed. This reviewer received promo considerations or sweepstakes entry for writing a review. Like that it’s multiple source for input and the sound quality is great I would recommend this to a friend,5
"Such a flex Angelo | Verified Purchase Verified Purchase | Posted 1 month ago . This reviewer received promo considerations or sweepstakes entry for writing a review. It’s beautiful! Orange looks iconic and can tell its very high quality. They really made it look exclusive. This review is from Logitech - Astro A50 X McLaren Edition LIGHTSPEED Wireless Gaming Headset + Base Station with PLAYSYNC for PS5, Xbox, Switch, PC - Orange I would recommend this to a friend",5
